gene_symbol	ensembl_gene_id	disease	association_score	evidence_count
ABCA1	ENSG00000165029	type_2_diabetes	0.392087	137
ABCA10	ENSG00000154263	type_2_diabetes	0.007400	1
ABCA13	ENSG00000179869	obesity	0.007400	1
ABCA3	ENSG00000167972	mash	0.002960	1
ABCA3	ENSG00000167972	type_2_diabetes	0.001850	2
ABCA4	ENSG00000198691	nafld	0.008964	5
ABCA4	ENSG00000198691	obesity	0.002940	3
ABCA4	ENSG00000198691	type_2_diabetes	0.008400	5
ABCA6	ENSG00000154262	obesity	0.005180	1
ABCA7	ENSG00000064687	obesity	0.002590	2
ABCB1	ENSG00000085563	mash	0.007030	2
ABCB1	ENSG00000085563	nafld	0.013247	8
ABCB1	ENSG00000085563	obesity	0.076169	17
ABCB1	ENSG00000085563	type_2_diabetes	0.039250	26
ABCB10	ENSG00000135776	nafld	0.014801	1
ABCB10	ENSG00000135776	obesity	0.011471	2
ABCB10	ENSG00000135776	type_2_diabetes	0.455397	18
ABCB11	ENSG00000073734	mash	0.052668	15
ABCB11	ENSG00000073734	nafld	0.028509	28
ABCB11	ENSG00000073734	obesity	0.032281	12
ABCB11	ENSG00000073734	type_2_diabetes	0.028611	6
ABCB4	ENSG00000005471	mash	0.016249	8
ABCB4	ENSG00000005471	nafld	0.009700	7
ABCB4	ENSG00000005471	obesity	0.042923	4
ABCB4	ENSG00000005471	type_2_diabetes	0.001480	1
ABCB5	ENSG00000004846	obesity	0.091877	1
ABCB5	ENSG00000004846	type_2_diabetes	0.002220	1
ABCB6	ENSG00000115657	mash	0.001480	1
ABCB6	ENSG00000115657	nafld	0.054394	2
ABCB6	ENSG00000115657	obesity	0.011504	8
ABCB6	ENSG00000115657	type_2_diabetes	0.023264	11
ABCB7	ENSG00000131269	mash	0.008976	6
ABCB7	ENSG00000131269	nafld	0.014909	11
ABCB7	ENSG00000131269	obesity	0.023077	16
ABCB7	ENSG00000131269	type_2_diabetes	0.007407	13
ABCB8	ENSG00000197150	mash	0.007400	1
ABCB9	ENSG00000150967	obesity	0.040290	2
ABCB9	ENSG00000150967	type_2_diabetes	0.059265	7
ABCC1	ENSG00000103222	mash	0.005905	7
ABCC1	ENSG00000103222	nafld	0.049068	8
ABCC1	ENSG00000103222	obesity	0.011481	10
ABCC1	ENSG00000103222	type_2_diabetes	0.016475	11
ABCC10	ENSG00000124574	obesity	0.030877	3
ABCC11	ENSG00000121270	nafld	0.002220	1
ABCC11	ENSG00000121270	obesity	0.012304	11
ABCC11	ENSG00000121270	type_2_diabetes	0.018821	8
ABCC12	ENSG00000140798	type_2_diabetes	0.007400	1
ABCC2	ENSG00000023839	mash	0.083071	33
ABCC2	ENSG00000023839	nafld	0.025536	18
ABCC2	ENSG00000023839	obesity	0.035480	7
ABCC2	ENSG00000023839	type_2_diabetes	0.004594	4
ABCC3	ENSG00000108846	mash	0.029728	13
ABCC3	ENSG00000108846	nafld	0.009188	11
ABCC3	ENSG00000108846	obesity	0.009693	4
ABCC3	ENSG00000108846	type_2_diabetes	0.016836	2
ABCC4	ENSG00000125257	mash	0.012045	10
ABCC4	ENSG00000125257	nafld	0.003587	4
ABCC4	ENSG00000125257	obesity	0.021078	7
ABCC4	ENSG00000125257	type_2_diabetes	0.009415	3
ABCC5	ENSG00000114770	nafld	0.055134	2
ABCC5	ENSG00000114770	obesity	0.003330	2
ABCC5	ENSG00000114770	type_2_diabetes	0.247184	11
ABCC6	ENSG00000091262	nafld	0.001480	1
ABCC6	ENSG00000091262	obesity	0.004235	3
ABCC6	ENSG00000091262	type_2_diabetes	0.002015	3
ABCC8	ENSG00000006071	nafld	0.016404	3
ABCC8	ENSG00000006071	obesity	0.078556	32
ABCC8	ENSG00000006071	type_2_diabetes	0.858118	1354
ABCC9	ENSG00000069431	obesity	0.004070	2
ABCC9	ENSG00000069431	type_2_diabetes	0.017895	4
ABCD1	ENSG00000101986	mash	0.004255	2
ABCD1	ENSG00000101986	nafld	0.004070	3
ABCD1	ENSG00000101986	type_2_diabetes	0.024216	3
ABCD2	ENSG00000173208	nafld	0.002220	1
ABCD2	ENSG00000173208	obesity	0.007400	1
ABCD4	ENSG00000119688	obesity	0.002960	1
ABCD4	ENSG00000119688	type_2_diabetes	0.004995	2
ABCE1	ENSG00000164163	obesity	0.001480	1
ABCE1	ENSG00000164163	type_2_diabetes	0.003700	1
ABCF1	ENSG00000204574	nafld	0.003700	1
ABCF1	ENSG00000204574	obesity	0.011286	2
ABCF3	ENSG00000161204	type_2_diabetes	0.036262	3
ABCG1	ENSG00000160179	mash	0.013975	6
ABCG1	ENSG00000160179	nafld	0.006087	9
ABCG1	ENSG00000160179	obesity	0.026717	56
ABCG1	ENSG00000160179	type_2_diabetes	0.105920	85
ABCG2	ENSG00000118777	mash	0.023723	3
ABCG2	ENSG00000118777	nafld	0.009693	12
ABCG2	ENSG00000118777	obesity	0.326712	41
ABCG2	ENSG00000118777	type_2_diabetes	0.062925	46
ABCG4	ENSG00000172350	obesity	0.001480	1
ABCG5	ENSG00000138075	mash	0.006815	4
ABCG5	ENSG00000138075	nafld	0.004863	9
ABCG5	ENSG00000138075	obesity	0.035419	7
ABCG5	ENSG00000138075	type_2_diabetes	0.012462	10
ABCG8	ENSG00000143921	mash	0.008398	4
ABCG8	ENSG00000143921	nafld	0.009776	7
ABCG8	ENSG00000143921	obesity	0.033539	4
ABCG8	ENSG00000143921	type_2_diabetes	0.014449	12
ABHD1	ENSG00000143994	type_2_diabetes	0.001480	1
ABHD10	ENSG00000144827	nafld	0.007400	1
ABHD10	ENSG00000144827	type_2_diabetes	0.007956	2
ABHD11	ENSG00000106077	obesity	0.031437	2
ABHD12	ENSG00000100997	obesity	0.021894	1
ABHD12B	ENSG00000131969	obesity	0.001850	2
ABHD13	ENSG00000139826	type_2_diabetes	0.102616	1
ABHD14A	ENSG00000248487	obesity	0.018919	1
ABHD14B	ENSG00000114779	type_2_diabetes	0.014801	1
ABHD15	ENSG00000168792	nafld	0.003330	2
ABHD15	ENSG00000168792	obesity	0.029232	2
ABHD15	ENSG00000168792	type_2_diabetes	0.001480	1
ABHD16B	ENSG00000183260	type_2_diabetes	0.018788	1
ABHD17A	ENSG00000129968	type_2_diabetes	0.053566	4
ABHD17C	ENSG00000136379	obesity	0.190667	1
ABHD18	ENSG00000164074	type_2_diabetes	0.027154	1
ABHD2	ENSG00000140526	obesity	0.034664	1
ABHD2	ENSG00000140526	type_2_diabetes	0.002960	1
ABHD3	ENSG00000158201	type_2_diabetes	0.021797	1
ABHD4	ENSG00000100439	obesity	0.018851	3
ABHD5	ENSG00000011198	mash	0.014595	3
ABHD5	ENSG00000011198	nafld	0.027962	16
ABHD5	ENSG00000011198	obesity	0.032373	16
ABHD5	ENSG00000011198	type_2_diabetes	0.008737	3
ABHD6	ENSG00000163686	nafld	0.045849	9
ABHD6	ENSG00000163686	obesity	0.064862	27
ABHD6	ENSG00000163686	type_2_diabetes	0.068319	11
ABI2	ENSG00000138443	obesity	0.007400	1
ABI2	ENSG00000138443	type_2_diabetes	0.069565	1
ABI3	ENSG00000108798	obesity	0.018686	2
ABI3BP	ENSG00000154175	type_2_diabetes	0.003700	1
ABL1	ENSG00000097007	mash	0.001480	1
ABL1	ENSG00000097007	nafld	0.012190	3
ABL1	ENSG00000097007	obesity	0.189331	7
ABL1	ENSG00000097007	type_2_diabetes	0.014102	3
ABL2	ENSG00000143322	nafld	0.004255	2
ABL2	ENSG00000143322	obesity	0.007740	4
ABL2	ENSG00000143322	type_2_diabetes	0.118591	7
ABO	ENSG00000175164	nafld	0.036961	3
ABO	ENSG00000175164	obesity	0.025735	20
ABO	ENSG00000175164	type_2_diabetes	0.527840	61
ABR	ENSG00000159842	mash	0.009447	7
ABR	ENSG00000159842	nafld	0.008367	3
ABR	ENSG00000159842	obesity	0.002960	1
ABRA	ENSG00000174429	type_2_diabetes	0.002220	1
ABT1	ENSG00000146109	obesity	0.007956	2
ABTB2	ENSG00000166016	type_2_diabetes	0.019422	1
ABTB3	ENSG00000151136	obesity	0.356397	2
ACAA1	ENSG00000060971	mash	0.004625	2
ACAA1	ENSG00000060971	nafld	0.002220	1
ACAA1	ENSG00000060971	obesity	0.002220	1
ACAA1	ENSG00000060971	type_2_diabetes	0.009567	5
ACAA2	ENSG00000167315	mash	0.009731	5
ACAA2	ENSG00000167315	nafld	0.015862	6
ACAA2	ENSG00000167315	obesity	0.004428	6
ACAA2	ENSG00000167315	type_2_diabetes	0.004070	2
ACACA	ENSG00000278540	mash	0.126390	113
ACACA	ENSG00000278540	nafld	0.126728	271
ACACA	ENSG00000278540	obesity	0.038038	189
ACACA	ENSG00000278540	type_2_diabetes	0.103610	94
ACACB	ENSG00000076555	mash	0.115130	21
ACACB	ENSG00000076555	nafld	0.108860	26
ACACB	ENSG00000076555	obesity	0.053951	83
ACACB	ENSG00000076555	type_2_diabetes	0.102168	45
ACAD10	ENSG00000111271	obesity	0.001850	2
ACAD10	ENSG00000111271	type_2_diabetes	0.020760	6
ACAD11	ENSG00000240303	type_2_diabetes	0.007400	1
ACAD8	ENSG00000151498	obesity	0.004420	3
ACAD8	ENSG00000151498	type_2_diabetes	0.001480	1
ACAD9	ENSG00000177646	type_2_diabetes	0.101444	1
ACADL	ENSG00000115361	mash	0.011463	6
ACADL	ENSG00000115361	nafld	0.006600	14
ACADL	ENSG00000115361	obesity	0.031482	8
ACADL	ENSG00000115361	type_2_diabetes	0.004420	3
ACADM	ENSG00000117054	mash	0.021375	9
ACADM	ENSG00000117054	nafld	0.013350	17
ACADM	ENSG00000117054	obesity	0.023903	7
ACADM	ENSG00000117054	type_2_diabetes	0.016459	7
ACADS	ENSG00000122971	nafld	0.010970	5
ACADS	ENSG00000122971	obesity	0.017540	4
ACADS	ENSG00000122971	type_2_diabetes	0.360406	10
ACADSB	ENSG00000196177	mash	0.002220	1
ACADSB	ENSG00000196177	obesity	0.007400	1
ACADSB	ENSG00000196177	type_2_diabetes	0.003700	1
ACADVL	ENSG00000072778	mash	0.005530	3
ACADVL	ENSG00000072778	nafld	0.004594	4
ACADVL	ENSG00000072778	obesity	0.011245	4
ACADVL	ENSG00000072778	type_2_diabetes	0.053549	4
ACAN	ENSG00000157766	obesity	0.046809	13
ACAN	ENSG00000157766	type_2_diabetes	0.241458	3
ACAP1	ENSG00000072818	type_2_diabetes	0.003700	1
ACAT1	ENSG00000075239	mash	0.010089	6
ACAT1	ENSG00000075239	nafld	0.010176	11
ACAT1	ENSG00000075239	obesity	0.029495	25
ACAT1	ENSG00000075239	type_2_diabetes	0.020501	6
ACAT2	ENSG00000120437	mash	0.004440	2
ACAT2	ENSG00000120437	nafld	0.006359	6
ACAT2	ENSG00000120437	obesity	0.019969	6
ACAT2	ENSG00000120437	type_2_diabetes	0.004016	5
ACBD3	ENSG00000182827	obesity	0.001480	1
ACBD4	ENSG00000181513	obesity	0.002194	1
ACBD4	ENSG00000181513	type_2_diabetes	0.003700	1
ACBD5	ENSG00000107897	mash	0.002960	1
ACBD7	ENSG00000176244	obesity	0.005900	4
ACCS	ENSG00000110455	nafld	0.003700	1
ACCS	ENSG00000110455	obesity	0.022340	17
ACCS	ENSG00000110455	type_2_diabetes	0.028058	10
ACD	ENSG00000102977	obesity	0.032858	1
ACD	ENSG00000102977	type_2_diabetes	0.004995	2
ACE	ENSG00000159640	mash	0.078882	20
ACE	ENSG00000159640	nafld	0.083704	59
ACE	ENSG00000159640	obesity	0.072795	385
ACE	ENSG00000159640	type_2_diabetes	0.533449	1203
ACE2	ENSG00000130234	mash	0.029507	20
ACE2	ENSG00000130234	nafld	0.091251	54
ACE2	ENSG00000130234	obesity	0.090799	402
ACE2	ENSG00000130234	type_2_diabetes	0.102785	249
ACER1	ENSG00000167769	obesity	0.004070	2
ACER2	ENSG00000177076	mash	0.012951	2
ACER2	ENSG00000177076	nafld	0.007400	1
ACER2	ENSG00000177076	obesity	0.019313	4
ACER2	ENSG00000177076	type_2_diabetes	0.009251	2
ACER3	ENSG00000078124	mash	0.076536	7
ACER3	ENSG00000078124	nafld	0.010361	2
ACHE	ENSG00000087085	mash	0.003700	1
ACHE	ENSG00000087085	nafld	0.004235	3
ACHE	ENSG00000087085	obesity	0.186400	51
ACHE	ENSG00000087085	type_2_diabetes	0.084672	67
ACIN1	ENSG00000100813	obesity	0.001480	1
ACIN1	ENSG00000100813	type_2_diabetes	0.008881	1
ACKR1	ENSG00000213088	mash	0.001480	1
ACKR1	ENSG00000213088	nafld	0.001480	1
ACKR1	ENSG00000213088	obesity	0.021271	7
ACKR2	ENSG00000144648	mash	0.002590	2
ACKR2	ENSG00000144648	nafld	0.002220	2
ACKR2	ENSG00000144648	obesity	0.002960	1
ACKR3	ENSG00000144476	mash	0.006267	12
ACKR3	ENSG00000144476	nafld	0.021757	19
ACKR3	ENSG00000144476	obesity	0.026192	185
ACKR3	ENSG00000144476	type_2_diabetes	0.015936	139
ACKR4	ENSG00000129048	type_2_diabetes	0.003700	1
ACKR5	ENSG00000166856	obesity	0.005797	3
ACKR5	ENSG00000166856	type_2_diabetes	0.001480	1
ACLY	ENSG00000131473	mash	0.033362	18
ACLY	ENSG00000131473	nafld	0.027817	53
ACLY	ENSG00000131473	obesity	0.039478	36
ACLY	ENSG00000131473	type_2_diabetes	0.021100	20
ACMSD	ENSG00000153086	mash	0.007195	3
ACMSD	ENSG00000153086	nafld	0.017378	5
ACMSD	ENSG00000153086	obesity	0.018869	1
ACMSD	ENSG00000153086	type_2_diabetes	0.023774	1
ACO1	ENSG00000122729	mash	0.012930	3
ACO1	ENSG00000122729	nafld	0.003955	6
ACO1	ENSG00000122729	obesity	0.003914	5
ACO1	ENSG00000122729	type_2_diabetes	0.201310	8
ACO2	ENSG00000100412	mash	0.003700	1
ACO2	ENSG00000100412	nafld	0.008295	4
ACO2	ENSG00000100412	obesity	0.031549	9
ACO2	ENSG00000100412	type_2_diabetes	0.012066	9
ACOD1	ENSG00000102794	mash	0.017761	1
ACOD1	ENSG00000102794	nafld	0.016031	6
ACOD1	ENSG00000102794	obesity	0.098469	12
ACOD1	ENSG00000102794	type_2_diabetes	0.001480	1
ACOT1	ENSG00000184227	mash	0.017962	6
ACOT1	ENSG00000184227	nafld	0.003680	3
ACOT1	ENSG00000184227	obesity	0.020392	4
ACOT1	ENSG00000184227	type_2_diabetes	0.050108	4
ACOT11	ENSG00000162390	mash	0.001480	1
ACOT11	ENSG00000162390	nafld	0.023384	4
ACOT11	ENSG00000162390	obesity	0.038793	19
ACOT12	ENSG00000172497	mash	0.005365	2
ACOT12	ENSG00000172497	nafld	0.057724	1
ACOT12	ENSG00000172497	obesity	0.140461	1
ACOT13	ENSG00000112304	nafld	0.007030	2
ACOT13	ENSG00000112304	obesity	0.006406	6
ACOT2	ENSG00000119673	mash	0.003700	1
ACOT2	ENSG00000119673	nafld	0.006455	3
ACOT2	ENSG00000119673	obesity	0.003772	4
ACOT2	ENSG00000119673	type_2_diabetes	0.003700	1
ACOT4	ENSG00000177465	mash	0.009662	3
ACOT4	ENSG00000177465	nafld	0.005715	5
ACOT4	ENSG00000177465	obesity	0.001480	1
ACOT4	ENSG00000177465	type_2_diabetes	0.005180	1
ACOT7	ENSG00000097021	mash	0.001480	1
ACOT7	ENSG00000097021	nafld	0.002590	2
ACOT7	ENSG00000097021	obesity	0.002755	3
ACOT7	ENSG00000097021	type_2_diabetes	0.011346	8
ACOT8	ENSG00000101473	nafld	0.001480	1
ACOT8	ENSG00000101473	type_2_diabetes	0.001480	1
ACOT9	ENSG00000123130	mash	0.004255	2
ACOT9	ENSG00000123130	nafld	0.005622	4
ACOT9	ENSG00000123130	obesity	0.014863	3
ACOX1	ENSG00000161533	mash	0.057812	18
ACOX1	ENSG00000161533	nafld	0.081939	53
ACOX1	ENSG00000161533	obesity	0.188637	38
ACOX1	ENSG00000161533	type_2_diabetes	0.014738	7
ACOX2	ENSG00000168306	mash	0.014061	1
ACOX2	ENSG00000168306	nafld	0.015286	7
ACOX2	ENSG00000168306	obesity	0.011101	1
ACOX3	ENSG00000087008	nafld	0.001480	1
ACOXL	ENSG00000153093	obesity	0.014657	3
ACOXL	ENSG00000153093	type_2_diabetes	0.160589	9
ACP1	ENSG00000143727	nafld	0.002960	1
ACP1	ENSG00000143727	obesity	0.067926	78
ACP1	ENSG00000143727	type_2_diabetes	0.201186	55
ACP2	ENSG00000134575	mash	0.001850	2
ACP2	ENSG00000134575	nafld	0.036689	37
ACP2	ENSG00000134575	obesity	0.023337	33
ACP2	ENSG00000134575	type_2_diabetes	0.039002	34
ACP3	ENSG00000014257	obesity	0.002015	3
ACP3	ENSG00000014257	type_2_diabetes	0.005597	10
ACP5	ENSG00000102575	mash	0.009806	2
ACP5	ENSG00000102575	nafld	0.013917	3
ACP5	ENSG00000102575	obesity	0.031889	14
ACP5	ENSG00000102575	type_2_diabetes	0.027093	50
ACP6	ENSG00000162836	mash	0.001480	1
ACP6	ENSG00000162836	obesity	0.002220	1
ACP6	ENSG00000162836	type_2_diabetes	0.007400	1
ACP7	ENSG00000183760	type_2_diabetes	0.002960	1
ACR	ENSG00000100312	nafld	0.001480	1
ACR	ENSG00000100312	type_2_diabetes	0.004235	3
ACSBG1	ENSG00000103740	mash	0.004625	2
ACSBG1	ENSG00000103740	nafld	0.004070	2
ACSBG1	ENSG00000103740	obesity	0.032192	6
ACSBG1	ENSG00000103740	type_2_diabetes	0.008333	5
ACSBG2	ENSG00000130377	obesity	0.001480	1
ACSF2	ENSG00000167107	nafld	0.001480	1
ACSF2	ENSG00000167107	obesity	0.003700	1
ACSF2	ENSG00000167107	type_2_diabetes	0.007400	1
ACSF3	ENSG00000176715	nafld	0.019940	4
ACSF3	ENSG00000176715	obesity	0.024359	1
ACSF3	ENSG00000176715	type_2_diabetes	0.019353	1
ACSL1	ENSG00000151726	mash	0.036624	7
ACSL1	ENSG00000151726	nafld	0.019564	17
ACSL1	ENSG00000151726	obesity	0.020034	22
ACSL1	ENSG00000151726	type_2_diabetes	0.480585	36
ACSL3	ENSG00000123983	mash	0.004625	2
ACSL3	ENSG00000123983	nafld	0.051004	5
ACSL3	ENSG00000123983	obesity	0.005437	4
ACSL3	ENSG00000123983	type_2_diabetes	0.008675	3
ACSL4	ENSG00000068366	mash	0.024548	31
ACSL4	ENSG00000068366	nafld	0.024189	34
ACSL4	ENSG00000068366	obesity	0.030942	14
ACSL4	ENSG00000068366	type_2_diabetes	0.043640	23
ACSL5	ENSG00000197142	mash	0.007092	6
ACSL5	ENSG00000197142	nafld	0.017510	5
ACSL5	ENSG00000197142	obesity	0.033880	11
ACSL5	ENSG00000197142	type_2_diabetes	0.014431	2
ACSL6	ENSG00000164398	mash	0.001480	1
ACSL6	ENSG00000164398	nafld	0.007472	4
ACSL6	ENSG00000164398	obesity	0.004512	4
ACSL6	ENSG00000164398	type_2_diabetes	0.005920	1
ACSM1	ENSG00000166743	nafld	0.001480	1
ACSM2A	ENSG00000183747	nafld	0.007400	1
ACSM2A	ENSG00000183747	type_2_diabetes	0.002220	1
ACSM2B	ENSG00000066813	type_2_diabetes	0.002220	1
ACSM3	ENSG00000005187	mash	0.001480	1
ACSM3	ENSG00000005187	nafld	0.004070	2
ACSM3	ENSG00000005187	obesity	0.006045	6
ACSM3	ENSG00000005187	type_2_diabetes	0.005869	4
ACSM5	ENSG00000183549	nafld	0.001480	1
ACSM5	ENSG00000183549	obesity	0.027536	2
ACSM5	ENSG00000183549	type_2_diabetes	0.068627	5
ACSS1	ENSG00000154930	mash	0.002590	2
ACSS1	ENSG00000154930	nafld	0.016281	1
ACSS1	ENSG00000154930	obesity	0.004839	5
ACSS2	ENSG00000131069	mash	0.009586	8
ACSS2	ENSG00000131069	nafld	0.009191	7
ACSS2	ENSG00000131069	obesity	0.057293	24
ACSS2	ENSG00000131069	type_2_diabetes	0.025686	10
ACSS3	ENSG00000111058	nafld	0.002220	1
ACSS3	ENSG00000111058	obesity	0.026827	2
ACSS3	ENSG00000111058	type_2_diabetes	0.016281	1
ACTA1	ENSG00000143632	mash	0.033439	136
ACTA1	ENSG00000143632	nafld	0.039233	61
ACTA1	ENSG00000143632	obesity	0.010297	19
ACTA1	ENSG00000143632	type_2_diabetes	0.052347	57
ACTA2	ENSG00000107796	mash	0.015131	21
ACTA2	ENSG00000107796	nafld	0.008935	6
ACTA2	ENSG00000107796	obesity	0.006463	6
ACTA2	ENSG00000107796	type_2_diabetes	0.020648	7
ACTB	ENSG00000075624	mash	0.009144	9
ACTB	ENSG00000075624	nafld	0.014197	17
ACTB	ENSG00000075624	obesity	0.049752	48
ACTB	ENSG00000075624	type_2_diabetes	0.057028	53
ACTBL2	ENSG00000169067	nafld	0.002590	2
ACTBL2	ENSG00000169067	obesity	0.002590	2
ACTBL2	ENSG00000169067	type_2_diabetes	0.010546	2
ACTBP2	ENSG00000213763	obesity	0.003700	1
ACTC1	ENSG00000159251	obesity	0.003700	1
ACTG1	ENSG00000184009	nafld	0.002940	3
ACTG1	ENSG00000184009	obesity	0.011532	3
ACTG1	ENSG00000184009	type_2_diabetes	0.011049	4
ACTG2	ENSG00000163017	nafld	0.002755	3
ACTG2	ENSG00000163017	obesity	0.002590	2
ACTG2	ENSG00000163017	type_2_diabetes	0.010546	2
ACTL7B	ENSG00000148156	obesity	0.034731	2
ACTL7B	ENSG00000148156	type_2_diabetes	0.006660	1
ACTN1	ENSG00000072110	type_2_diabetes	0.441745	5
ACTN2	ENSG00000077522	obesity	0.003700	1
ACTN2	ENSG00000077522	type_2_diabetes	0.003515	2
ACTN3	ENSG00000248746	obesity	0.014658	12
ACTN3	ENSG00000248746	type_2_diabetes	0.024288	4
ACTN4	ENSG00000130402	type_2_diabetes	0.012323	6
ACTR10	ENSG00000131966	type_2_diabetes	0.023552	1
ACTR1A	ENSG00000138107	obesity	0.033905	1
ACTR1A	ENSG00000138107	type_2_diabetes	0.002775	2
ACTR1B	ENSG00000115073	obesity	0.003700	1
ACTR3	ENSG00000115091	obesity	0.002220	1
ACTR3	ENSG00000115091	type_2_diabetes	0.001480	1
ACTR5	ENSG00000101442	obesity	0.117641	1
ACTR8	ENSG00000113812	obesity	0.032288	1
ACTR8	ENSG00000113812	type_2_diabetes	0.027727	2
ACTRT1	ENSG00000123165	obesity	0.007400	1
ACTRT1	ENSG00000123165	type_2_diabetes	0.069565	1
ACTRT2	ENSG00000169717	obesity	0.002755	3
ACTRT3	ENSG00000184378	obesity	0.035148	1
ACVR1	ENSG00000115170	type_2_diabetes	0.010957	3
ACVR1B	ENSG00000135503	nafld	0.002960	1
ACVR1B	ENSG00000135503	obesity	0.016898	3
ACVR1B	ENSG00000135503	type_2_diabetes	0.001480	1
ACVR1C	ENSG00000123612	nafld	0.002590	2
ACVR1C	ENSG00000123612	obesity	0.061603	24
ACVR1C	ENSG00000123612	type_2_diabetes	0.504432	26
ACVR2A	ENSG00000121989	mash	0.017793	11
ACVR2A	ENSG00000121989	nafld	0.005335	4
ACVR2A	ENSG00000121989	obesity	0.006497	12
ACVR2A	ENSG00000121989	type_2_diabetes	0.310205	6
ACVR2B	ENSG00000114739	mash	0.003700	1
ACVR2B	ENSG00000114739	nafld	0.002220	1
ACVR2B	ENSG00000114739	obesity	0.030973	19
ACVR2B	ENSG00000114739	type_2_diabetes	0.098479	6
ACVRL1	ENSG00000139567	mash	0.002220	1
ACVRL1	ENSG00000139567	obesity	0.003700	1
ACY1	ENSG00000243989	nafld	0.008490	4
ACY1	ENSG00000243989	obesity	0.004975	3
ACY1	ENSG00000243989	type_2_diabetes	0.022739	12
ACYP2	ENSG00000170634	mash	0.001850	2
ACYP2	ENSG00000170634	obesity	0.002775	2
ACYP2	ENSG00000170634	type_2_diabetes	0.008935	5
ADA	ENSG00000196839	mash	0.008459	4
ADA	ENSG00000196839	nafld	0.011201	10
ADA	ENSG00000196839	obesity	0.026082	29
ADA	ENSG00000196839	type_2_diabetes	0.367622	76
ADA2	ENSG00000093072	mash	0.001480	1
ADA2	ENSG00000093072	nafld	0.038349	4
ADA2	ENSG00000093072	obesity	0.004070	2
ADA2	ENSG00000093072	type_2_diabetes	0.013346	8
ADAM10	ENSG00000137845	mash	0.004810	2
ADAM10	ENSG00000137845	nafld	0.007400	1
ADAM10	ENSG00000137845	obesity	0.007532	5
ADAM10	ENSG00000137845	type_2_diabetes	0.029487	10
ADAM11	ENSG00000073670	obesity	0.023616	9
ADAM11	ENSG00000073670	type_2_diabetes	0.007925	4
ADAM12	ENSG00000148848	obesity	0.021287	9
ADAM12	ENSG00000148848	type_2_diabetes	0.007935	3
ADAM15	ENSG00000143537	nafld	0.145927	1
ADAM15	ENSG00000143537	obesity	0.041423	2
ADAM17	ENSG00000151694	mash	0.012696	16
ADAM17	ENSG00000151694	nafld	0.012201	12
ADAM17	ENSG00000151694	obesity	0.053438	47
ADAM17	ENSG00000151694	type_2_diabetes	0.034051	31
ADAM19	ENSG00000135074	nafld	0.001480	1
ADAM19	ENSG00000135074	obesity	0.029232	2
