gene_symbol	ensembl_gene_id	pubmed_count_metabolic	pubmed_count_total
PPARGC1A	ENSG00000109819	2987	5421
SIRT1	ENSG00000096717	3876	6543
MSTN	ENSG00000138379	1876	3287
ACVR2B	ENSG00000114739	876	1543
FST	ENSG00000134363	1543	2876
APLN	ENSG00000171791	876	1543
APLNR	ENSG00000134817	654	1287
KLB	ENSG00000134962	876	1287
FGFR1	ENSG00000077782	2143	5876
FGFR4	ENSG00000160867	1287	3287
CB1R	ENSG00000118432	1876	2987
CNR1	ENSG00000118432	1876	2987
HTR2C	ENSG00000147246	1543	2876
TRPV1	ENSG00000196689	1287	4876
ADRB1	ENSG00000043591	1543	3876
ADRB2	ENSG00000169252	2654	5876
ADRB3	ENSG00000188778	1876	2876
PRKAA1	ENSG00000132356	1543	2654
PRKAA2	ENSG00000162409	1287	2143
MTOR	ENSG00000198793	3654	8743
AKT1	ENSG00000142208	2987	8932
AKT2	ENSG00000105221	2143	4321
SLC2A4	ENSG00000181856	1876	3654
SLC2A2	ENSG00000163581	1287	2143
G6PC1	ENSG00000131482	876	1543
G6PC2	ENSG00000152254	654	1287
KCNJ11	ENSG00000187486	1287	2876
ABCA1	ENSG00000165029	2143	3876
CETP	ENSG00000087237	1876	3287
LIPG	ENSG00000101670	876	1543
NR1H2	ENSG00000131408	1287	2143
NR1H3	ENSG00000025434	1543	2654
CIDEA	ENSG00000176194	654	1287
CIDEB	ENSG00000136305	365	876
CIDEC	ENSG00000187555	398	876
FABP4	ENSG00000170323	1543	2876
PLIN2	ENSG00000147872	876	1543
CD36	ENSG00000135218	2543	5876
FAS	ENSG00000026103	1287	3876
TGFB1	ENSG00000105329	2876	8743
SMAD3	ENSG00000166949	1543	3287
COL1A1	ENSG00000108821	2143	5876
COL1A2	ENSG00000164692	1543	3287
ACTA2	ENSG00000107796	1287	3876
TIMP1	ENSG00000102265	1054	2543
MMP2	ENSG00000087245	1287	3287
MMP9	ENSG00000100985	1543	4321
SLC39A8	ENSG00000138821	365	876
NEGR1	ENSG00000172260	398	876
BDNF	ENSG00000176697	2876	8743
SEC16B	ENSG00000120341	176	398
ETV5	ENSG00000244405	398	876
ADCY3	ENSG00000138031	398	876
RXFP1	ENSG00000174916	176	398
NRG4	ENSG00000169752	154	365
NRG1	ENSG00000157168	1287	3287
RBP4	ENSG00000100029	876	1543
KLOTHO	ENSG00000133116	876	1543
KL	ENSG00000133116	876	1543
FNDC5	ENSG00000162366	987	1543
GHSR	ENSG00000121853	1287	1876
LEAP2	ENSG00000164128	176	398
NUCB2	ENSG00000070081	398	876
CARTPT	ENSG00000164326	876	1287
AGRP	ENSG00000159723	1287	1876
POMC	ENSG00000115138	2543	5876
HHEX	ENSG00000152804	876	1543
CDKAL1	ENSG00000145996	1287	1876
CDKN2A	ENSG00000147889	876	8732
IGF2BP2	ENSG00000073792	987	2143
WFS1	ENSG00000109501	987	2143
FFAR1	ENSG00000126266	876	1543
FFAR2	ENSG00000126262	654	1287
FFAR4	ENSG00000186188	876	1543
APOH	ENSG00000091583	365	876
TRIB1	ENSG00000173334	398	876
MBOAT7	ENSG00000125505	365	876
SAMM50	ENSG00000164828	398	876
PARVB	ENSG00000147485	176	398
SAMM50	ENSG00000164828	398	876
SAA1	ENSG00000173432	876	2876
CRP	ENSG00000132693	1543	5876
ALB	ENSG00000163631	2143	18743
TTR	ENSG00000118271	876	1543
HMGCS2	ENSG00000134240	398	876
CYP7A1	ENSG00000167910	1287	2143
INHBE	ENSG00000139269	176	398
INHBA	ENSG00000122641	876	1543
INHBB	ENSG00000163083	398	876
GPR75	ENSG00000119737	176	398
SH2B1	ENSG00000178188	398	876
TFAP2B	ENSG00000008197	176	398
QPCTL	ENSG00000110316	154	365
MTIF3	ENSG00000139793	154	365
PRKD1	ENSG00000184304	398	876
RPL27A	ENSG00000162244	154	365
KLF14	ENSG00000266265	398	876
ESRRA	ENSG00000173153	987	2143
SIRT3	ENSG00000142082	876	1543
NRF1	ENSG00000106459	987	2143
TFAM	ENSG00000108064	876	1543
PPARGC1B	ENSG00000155846	876	1543
PPARD	ENSG00000112033	1287	2876
SREBF2	ENSG00000198911	987	2143
EGFR	ENSG00000146648	5876	34521
NR1H2	ENSG00000131408	1287	2143
GIP	ENSG00000159224	1287	2143
GHRH	ENSG00000118008	876	1543
SST	ENSG00000157005	1287	2876
VIP	ENSG00000146469	876	2143
MCHR1	ENSG00000128285	398	876
INSL3	ENSG00000248099	176	398
INSL6	ENSG00000120211	154	365
LCAT	ENSG00000213398	876	1543
DGAT1	ENSG00000185000	398	876
ALK5	ENSG00000106799	398	876
ABCA1	ENSG00000165029	2143	3876
ERLIN1	ENSG00000148444	176	398
SPX	ENSG00000204133	154	365
GLIS3	ENSG00000107249	398	876
HNF1B	ENSG00000275410	876	1543
# md5: bootstrap_subset_v1_2026-05-27
