gene_symbol	ensembl_gene_id	uniprot_id	protein_class	is_secreted	signal_peptide	orf_length_bp
APOB	ENSG00000084674	P04114	secreted_apolipoprotein	True	True	13713
ANGPTL3	ENSG00000132855	Q9Y5C1	secreted_growth_factor	True	True	1383
ANGPTL4	ENSG00000167772	Q9BY76	secreted_growth_factor	True	True	1221
ANGPTL8	ENSG00000204952	Q6UXH0	secreted_growth_factor	True	True	594
THRB	ENSG00000151090	P10828	nuclear_receptor	False	False	1383
FXR	ENSG00000012504	Q96RI1	nuclear_receptor	False	False	1419
NR1H4	ENSG00000012504	Q96RI1	nuclear_receptor	False	False	1419
SCD	ENSG00000099194	O00767	enzyme	False	False	1080
ACC1	ENSG00000132142	Q13085	enzyme	False	False	7113
ACACA	ENSG00000132142	Q13085	enzyme	False	False	7113
DGAT2	ENSG00000062282	Q96PD7	enzyme	False	False	1212
DGAT1	ENSG00000185000	O75907	enzyme	False	False	1497
MTTP	ENSG00000138823	P55157	transfer_protein	False	True	2769
PNPLA3	ENSG00000100344	Q9NST1	enzyme	False	False	1389
TM6SF2	ENSG00000241335	Q9BZW4	membrane_protein	False	True	1080
HSD17B13	ENSG00000170509	Q7Z5P4	enzyme	False	False	900
MBOAT7	ENSG00000125505	Q96N66	enzyme	False	False	1437
GCKR	ENSG00000084734	Q14397	regulator	False	False	1851
APOE	ENSG00000130203	P02649	secreted_apolipoprotein	True	True	954
LPL	ENSG00000175445	P06858	secreted_enzyme	True	True	1425
INSL5	ENSG00000183914	Q9Y5Q6	secreted_hormone	True	True	405
INSL6	ENSG00000120211	Q9Y581	secreted_hormone	True	True	630
NPR1	ENSG00000169418	P16066	receptor_guanylyl_cyclase	False	True	3327
NPPA	ENSG00000175206	P01160	secreted_hormone	True	True	456
NPPB	ENSG00000120937	P16860	secreted_hormone	True	True	405
NPPC	ENSG00000113081	P23582	secreted_hormone	True	True	378
SLC30A8	ENSG00000164756	Q8IWU4	transporter	False	False	1098
GLIS3	ENSG00000107249	Q8NEA6	transcription_factor	False	False	2358
ABCA1	ENSG00000165029	O95477	transporter	False	False	6786
CETP	ENSG00000087237	P11597	secreted_transfer_protein	True	True	1479
CNR1	ENSG00000118432	P21554	gpcr	False	False	1419
CNR2	ENSG00000188822	P34972	gpcr	False	False	1083
HTR2C	ENSG00000147246	P28335	gpcr	False	False	1377
TRPV1	ENSG00000196689	Q8NER1	ion_channel	False	False	2517
UCP1	ENSG00000109424	P25874	transporter	False	False	915
UCP2	ENSG00000175567	P55851	transporter	False	False	930
UCP3	ENSG00000175564	P55916	transporter	False	False	930
ADRB1	ENSG00000043591	P08588	gpcr	False	False	1434
ADRB2	ENSG00000169252	P07550	gpcr	False	False	1242
ADRB3	ENSG00000188778	P13945	gpcr	False	False	1207
PRKAA1	ENSG00000132356	Q13131	kinase	False	False	1716
PRKAA2	ENSG00000162409	P54646	kinase	False	False	1656
MTOR	ENSG00000198793	P42345	kinase	False	False	7647
AKT1	ENSG00000142208	P31749	kinase	False	False	1443
AKT2	ENSG00000105221	P31751	kinase	False	False	1446
GCK	ENSG00000106633	P35557	enzyme	False	False	1398
G6PC1	ENSG00000131482	P35575	enzyme	False	True	1071
G6PC2	ENSG00000152254	Q9NQR9	enzyme	False	True	1059
DPP4	ENSG00000197635	P27487	enzyme	False	True	2298
SGLT2	ENSG00000140675	P31639	transporter	False	True	2018
SLC5A2	ENSG00000140675	P31639	transporter	False	True	2018
SGLT1	ENSG00000100170	P13866	transporter	False	True	2007
SLC5A1	ENSG00000100170	P13866	transporter	False	True	2007
IL6	ENSG00000136244	P05231	secreted_cytokine	True	True	639
IL6R	ENSG00000160712	P08887	receptor	False	True	1383
IL1B	ENSG00000125538	P01584	secreted_cytokine	True	False	810
IL1R1	ENSG00000115594	P14778	receptor	False	True	1773
TNF	ENSG00000232810	P01375	secreted_cytokine	True	True	702
TNFRSF1A	ENSG00000067182	P19438	receptor	False	True	1368
TGFB1	ENSG00000105329	P01137	secreted_cytokine	True	True	1173
TGFBR2	ENSG00000163513	P37173	receptor_kinase	False	True	1701
ALK5	ENSG00000106799	P36897	receptor_kinase	False	True	1512
SMAD3	ENSG00000166949	P84022	transcription_factor	False	False	1278
COL1A1	ENSG00000108821	P02452	structural_protein	True	True	4395
COL1A2	ENSG00000164692	P08123	structural_protein	True	True	4098
ACTA2	ENSG00000107796	P62736	structural_protein	False	False	1131
TIMP1	ENSG00000102265	P01033	secreted_protein	True	True	624
MMP2	ENSG00000087245	P08253	secreted_protease	True	True	1989
MMP9	ENSG00000100985	P14780	secreted_protease	True	True	2127
FAS	ENSG00000026103	P25445	receptor	False	True	1008
CD36	ENSG00000135218	P16671	receptor	False	False	1419
FABP4	ENSG00000170323	P15090	transport_protein	False	False	402
CIDEC	ENSG00000187555	Q96AQ7	regulator	False	False	720
PLIN2	ENSG00000147872	Q99541	lipid_droplet	False	False	1254
INSL3	ENSG00000248099	P51460	secreted_hormone	True	True	393
RXFP1	ENSG00000174916	Q9HBX9	gpcr	False	True	2241
APLN	ENSG00000171791	Q9ULZ1	secreted_peptide	True	True	231
APLNR	ENSG00000134817	P35414	gpcr	False	False	1149
NRG4	ENSG00000169752	Q8WWG1	secreted_growth_factor	True	True	342
NRG1	ENSG00000157168	Q02297	secreted_growth_factor	True	True	1875
EGFR	ENSG00000146648	P00533	receptor_tyrosine_kinase	False	True	3633
KLB	ENSG00000134962	Q86Z14	cofactor_protein	False	True	3309
FGFR1	ENSG00000077782	P11362	receptor_tyrosine_kinase	False	True	2466
FGFR4	ENSG00000160867	P22455	receptor_tyrosine_kinase	False	True	2415
RBP4	ENSG00000100029	P02753	secreted_transport	True	True	606
TTR	ENSG00000118271	P02766	secreted_transport	True	True	441
CRP	ENSG00000132693	P02741	secreted_acute_phase	True	True	681
SAA1	ENSG00000173432	P0DJI8	secreted_acute_phase	True	True	369
ALB	ENSG00000163631	P02768	secreted_transport	True	True	1830
HMGCR	ENSG00000113161	P04035	enzyme	False	False	2667
HMGCS2	ENSG00000134240	P54868	enzyme	False	False	1545
CYP7A1	ENSG00000167910	P22680	enzyme	False	False	1515
NR1H2	ENSG00000131408	P55055	nuclear_receptor	False	False	1374
NR1H3	ENSG00000025434	Q13133	nuclear_receptor	False	False	1344
CIDEA	ENSG00000176194	O60543	regulator	False	False	654
CIDEB	ENSG00000136305	Q9UHD4	regulator	False	False	651
PRDM16	ENSG00000142611	Q9HAZ2	transcription_factor	False	False	3825
PPARGC1A	ENSG00000109819	Q9UBK2	coactivator	False	False	2391
PPARGC1B	ENSG00000155846	Q86YN6	coactivator	False	False	3036
FNDC5	ENSG00000162366	Q8NAU1	secreted_peptide	True	True	636
KLOTHO	ENSG00000133116	Q9UEF7	secreted_cofactor	True	True	3045
KL	ENSG00000133116	Q9UEF7	secreted_cofactor	True	True	3045
CORIN	ENSG00000145244	Q9Y5Q5	enzyme	False	True	3192
NPR2	ENSG00000159899	P20594	receptor_guanylyl_cyclase	False	True	3387
NPR3	ENSG00000113389	P17342	receptor	False	True	1656
GRP	ENSG00000134443	P07492	secreted_peptide	True	True	441
CCK	ENSG00000187094	P06307	secreted_peptide	True	True	345
CCKAR	ENSG00000163394	P32238	gpcr	False	False	1305
GIP	ENSG00000159224	P09681	secreted_peptide	True	True	459
GHRH	ENSG00000118008	P01286	secreted_peptide	True	True	321
GHRHR	ENSG00000106128	Q02643	gpcr	False	True	1326
SST	ENSG00000157005	P61278	secreted_peptide	True	True	351
SSTR2	ENSG00000180616	P30874	gpcr	False	False	1140
VIP	ENSG00000146469	P01282	secreted_peptide	True	True	510
VIPR1	ENSG00000114812	P32241	gpcr	False	True	1314
MCHR1	ENSG00000128285	Q99705	gpcr	False	False	1116
MCHR2	ENSG00000152034	Q969V1	gpcr	False	False	1083
CARTPT	ENSG00000164326	Q16568	secreted_peptide	True	True	303
AGRP	ENSG00000159723	O00253	secreted_peptide	True	True	393
LEAP2	ENSG00000164128	Q969E1	secreted_peptide	True	True	228
NUCB2	ENSG00000070081	P80303	secreted_protein	True	True	1239
ASPRO	ENSG00000110243	P22972	secreted	True	True	2103
ADCYAP1	ENSG00000141433	P18509	secreted_peptide	True	True	528
ADCYAP1R1	ENSG00000078549	P41586	gpcr	False	True	1545
SPX	ENSG00000204133	Q9BT56	secreted_peptide	True	True	351
GPR75	ENSG00000119737	O95800	gpcr	False	False	1665
GHSR	ENSG00000121853	Q92847	gpcr	False	False	1101
ESRRA	ENSG00000173153	P11474	nuclear_receptor	False	False	1266
SIRT1	ENSG00000096717	Q96EB6	enzyme	False	False	2244
SIRT3	ENSG00000142082	Q9NTG7	enzyme	False	False	1062
NRF1	ENSG00000106459	Q16656	transcription_factor	False	False	1518
TFAM	ENSG00000108064	Q00059	transcription_factor	False	False	741
MSTN	ENSG00000138379	O14793	secreted_growth_factor	True	True	1128
ACVR2B	ENSG00000114739	Q13705	receptor_kinase	False	True	1539
FST	ENSG00000134363	P19883	secreted_protein	True	True	1059
INHBA	ENSG00000122641	P08476	secreted_growth_factor	True	True	1284
INHBB	ENSG00000163083	P09529	secreted_growth_factor	True	True	1212
INHBE	ENSG00000139269	P58166	secreted_growth_factor	True	True	1149
FFAR1	ENSG00000126266	O14842	gpcr	False	False	906
FFAR2	ENSG00000126262	O15552	gpcr	False	False	993
FFAR4	ENSG00000186188	Q5NUL3	gpcr	False	False	1083
FGF21	ENSG00000105550	Q9NSA1	secreted_growth_factor	True	True	630
FGF19	ENSG00000162344	O95750	secreted_growth_factor	True	True	651
ADCY3	ENSG00000138031	O60266	enzyme	False	False	3540
FTO	ENSG00000140718	Q9C0B1	enzyme	False	False	1620
KCNJ11	ENSG00000187486	Q14654	ion_channel	False	False	1173
HNF1B	ENSG00000275410	P35680	transcription_factor	False	False	1734
HHEX	ENSG00000152804	Q03014	transcription_factor	False	False	822
CDKAL1	ENSG00000145996	Q5VV42	enzyme	False	False	1818
CDKN2A	ENSG00000147889	P42771	regulator	False	False	471
IGF2BP2	ENSG00000073792	Q9Y6M1	rna_binding	False	False	1797
WFS1	ENSG00000109501	O76024	membrane_protein	False	True	2670
NEGR1	ENSG00000172260	Q7Z3B1	membrane_protein	False	True	1059
BDNF	ENSG00000176697	P23560	secreted_growth_factor	True	True	744
SEC16B	ENSG00000120341	Q96JE7	regulator	False	False	3036
SH2B1	ENSG00000178188	Q9NRF2	signaling_adapter	False	False	2253
ETV5	ENSG00000244405	P41161	transcription_factor	False	False	1620
SLC39A8	ENSG00000138821	Q9C0K1	transporter	False	True	1383
KLF14	ENSG00000266265	Q8TD94	transcription_factor	False	False	975
LCAT	ENSG00000213398	P04180	secreted_enzyme	True	True	1323
LIPG	ENSG00000101670	Q9Y5X9	secreted_enzyme	True	True	1503
LPL	ENSG00000175445	P06858	secreted_enzyme	True	True	1425
LIPC	ENSG00000166035	P11150	secreted_enzyme	True	True	1494
PLA2G2A	ENSG00000188257	P14555	secreted_enzyme	True	True	441
TRIB1	ENSG00000173334	Q96RU8	pseudokinase	False	False	1119
TFAP2B	ENSG00000008197	Q92481	transcription_factor	False	False	1326
QPCTL	ENSG00000110316	Q9NXS2	enzyme	False	True	1062
MTIF3	ENSG00000139793	Q9H2K0	regulator	False	False	825
PRKD1	ENSG00000184304	Q15139	kinase	False	False	2769
RPL27A	ENSG00000162244	P46776	structural_protein	False	False	447
HMGCS2	ENSG00000134240	P54868	enzyme	False	False	1545
APOH	ENSG00000091583	P02749	secreted_apolipoprotein	True	True	1014
ERLIN1	ENSG00000148444	O75477	membrane_protein	False	True	1149
SAMM50	ENSG00000164828	Q9Y512	membrane_protein	False	False	1281
PARVB	ENSG00000147485	Q9HBI1	cytoskeletal	False	False	1167
ANP	ENSG00000175206	P01160	secreted_hormone	True	True	456
IRISIN	ENSG00000162366	Q8NAU1	secreted_peptide	True	True	636
ASPROSIN	ENSG00000051341	Q9Y574	secreted_peptide	True	True	1029
# md5: bootstrap_subset_v1_2026-05-27
