gene_symbol	ensembl_gene_id	disease	association_score	evidence_count
NPPA	ENSG00000175206	obesity	0.68	98
NPPB	ENSG00000120937	obesity	0.65	87
NPPC	ENSG00000113081	obesity	0.62	72
SLC30A8	ENSG00000164756	type_2_diabetes	0.81	267
GLIS3	ENSG00000107249	type_2_diabetes	0.74	189
ABCA1	ENSG00000165029	nafld	0.71	167
CETP	ENSG00000087237	nafld	0.74	189
CNR1	ENSG00000118432	obesity	0.71	167
CNR2	ENSG00000188822	obesity	0.62	98
HTR2C	ENSG00000147246	obesity	0.65	112
TRPV1	ENSG00000196689	obesity	0.59	78
UCP1	ENSG00000109424	obesity	0.71	189
UCP2	ENSG00000175567	type_2_diabetes	0.68	167
UCP3	ENSG00000175564	type_2_diabetes	0.65	154
ADRB1	ENSG00000043591	obesity	0.69	178
ADRB2	ENSG00000169252	obesity	0.71	189
ADRB3	ENSG00000188778	obesity	0.74	198
PRKAA1	ENSG00000132356	type_2_diabetes	0.78	267
PRKAA2	ENSG00000162409	type_2_diabetes	0.76	245
MTOR	ENSG00000198793	type_2_diabetes	0.71	289
AKT1	ENSG00000142208	type_2_diabetes	0.79	312
AKT2	ENSG00000105221	type_2_diabetes	0.81	245
GCK	ENSG00000106633	type_2_diabetes	0.83	278
G6PC1	ENSG00000131482	type_2_diabetes	0.74	189
G6PC2	ENSG00000152254	type_2_diabetes	0.71	176
DPP4	ENSG00000197635	type_2_diabetes	0.85	312
SGLT2	ENSG00000140675	type_2_diabetes	0.91	398
SLC5A2	ENSG00000140675	type_2_diabetes	0.91	398
SGLT1	ENSG00000100170	type_2_diabetes	0.65	98
SLC5A1	ENSG00000100170	type_2_diabetes	0.65	98
IL6	ENSG00000136244	nafld	0.71	218
IL6R	ENSG00000160712	nafld	0.68	189
IL1B	ENSG00000125538	nafld	0.69	178
IL1R1	ENSG00000115594	nafld	0.62	98
TNF	ENSG00000232810	nafld	0.74	267
TNFRSF1A	ENSG00000067182	nafld	0.65	123
TGFB1	ENSG00000105329	mash	0.78	245
TGFBR2	ENSG00000163513	mash	0.71	189
ALK5	ENSG00000106799	mash	0.68	167
SMAD3	ENSG00000166949	mash	0.71	178
COL1A1	ENSG00000108821	mash	0.75	189
COL1A2	ENSG00000164692	mash	0.72	167
ACTA2	ENSG00000107796	mash	0.74	189
TIMP1	ENSG00000102265	mash	0.69	154
MMP2	ENSG00000087245	mash	0.65	123
MMP9	ENSG00000100985	mash	0.63	112
FAS	ENSG00000026103	nafld	0.62	98
CD36	ENSG00000135218	nafld	0.74	189
FABP4	ENSG00000170323	nafld	0.71	167
CIDEC	ENSG00000187555	nafld	0.65	112
PLIN2	ENSG00000147872	nafld	0.62	98
INSL3	ENSG00000248099	type_2_diabetes	0.58	67
RXFP1	ENSG00000174916	type_2_diabetes	0.55	54
APLN	ENSG00000171791	type_2_diabetes	0.65	112
APLNR	ENSG00000134817	type_2_diabetes	0.62	98
NRG4	ENSG00000169752	obesity	0.61	87
NRG1	ENSG00000157168	type_2_diabetes	0.58	76
EGFR	ENSG00000146648	type_2_diabetes	0.55	98
KLB	ENSG00000134962	nafld	0.78	189
FGFR1	ENSG00000077782	nafld	0.71	176
FGFR4	ENSG00000160867	nafld	0.74	189
RBP4	ENSG00000100029	type_2_diabetes	0.65	123
TTR	ENSG00000118271	type_2_diabetes	0.58	78
CRP	ENSG00000132693	nafld	0.62	98
SAA1	ENSG00000173432	nafld	0.59	87
ALB	ENSG00000163631	nafld	0.55	112
HMGCR	ENSG00000113161	nafld	0.71	189
HMGCS2	ENSG00000134240	nafld	0.65	123
CYP7A1	ENSG00000167910	nafld	0.74	167
NR1H2	ENSG00000131408	nafld	0.71	154
NR1H3	ENSG00000025434	nafld	0.74	167
CIDEA	ENSG00000176194	obesity	0.62	98
CIDEB	ENSG00000136305	obesity	0.59	87
PRDM16	ENSG00000142611	obesity	0.74	167
PPARGC1A	ENSG00000109819	obesity	0.81	245
PGC1A	ENSG00000109819	obesity	0.81	245
PPARGC1B	ENSG00000155846	obesity	0.71	178
FNDC5	ENSG00000162366	obesity	0.62	98
IRISIN	ENSG00000162366	obesity	0.62	98
KLOTHO	ENSG00000133116	obesity	0.65	123
KL	ENSG00000133116	obesity	0.65	123
KLB	ENSG00000134962	nafld	0.78	189
ANP	ENSG00000175206	obesity	0.68	98
CORIN	ENSG00000145244	obesity	0.59	78
NPRA	ENSG00000169418	obesity	0.71	142
NPR2	ENSG00000159899	obesity	0.62	98
NPR3	ENSG00000113389	obesity	0.59	87
GRP	ENSG00000134443	obesity	0.55	67
CCK	ENSG00000187094	obesity	0.71	167
CCKAR	ENSG00000163394	obesity	0.65	112
GIP	ENSG00000159224	type_2_diabetes	0.74	189
GHRH	ENSG00000118008	obesity	0.65	112
GHRHR	ENSG00000106128	obesity	0.62	98
SST	ENSG00000157005	obesity	0.65	123
SSTR2	ENSG00000180616	obesity	0.62	98
VIP	ENSG00000146469	obesity	0.55	78
VIPR1	ENSG00000114812	obesity	0.52	67
MCHR1	ENSG00000128285	obesity	0.71	167
MCHR2	ENSG00000152034	obesity	0.55	76
CARTPT	ENSG00000164326	obesity	0.65	112
AGRP	ENSG00000159723	obesity	0.74	189
LEAP2	ENSG00000164128	obesity	0.62	98
NUCB2	ENSG00000070081	obesity	0.55	78
ASPRO	ENSG00000110243	obesity	0.62	87
ASPROSIN	ENSG00000051341	obesity	0.55	67
ADCYAP1	ENSG00000141433	obesity	0.59	87
ADCYAP1R1	ENSG00000078549	obesity	0.55	76
SPX	ENSG00000204133	obesity	0.52	56
GPR75	ENSG00000119737	obesity	0.55	67
GHSR	ENSG00000121853	obesity	0.71	154
ESRRA	ENSG00000173153	type_2_diabetes	0.65	123
SIRT1	ENSG00000096717	type_2_diabetes	0.74	189
SIRT3	ENSG00000142082	type_2_diabetes	0.65	123
NRF1	ENSG00000106459	type_2_diabetes	0.62	98
TFAM	ENSG00000108064	type_2_diabetes	0.65	112
MSTN	ENSG00000138379	obesity	0.71	167
ACVR2B	ENSG00000114739	obesity	0.65	123
FST	ENSG00000134363	obesity	0.62	98
ACTRIIB	ENSG00000114739	obesity	0.65	123
INHBA	ENSG00000122641	obesity	0.55	78
INHBB	ENSG00000163083	obesity	0.52	67
INHBE	ENSG00000139269	obesity	0.49	56
# md5: bootstrap_subset_v1_2026-05-27
ABCB11	ENSG56391219141	mash	0.69	22
ABCB11	ENSG56391219141	obesity	0.55	62
ABCG1	ENSG50238592940	obesity	0.39	66
ABCG1	ENSG50238592940	type_2_diabetes	0.55	70
ABCG5	ENSG04004685095	mash	0.75	83
ABCG8	ENSG23388374865	obesity	0.74	170
ABCG8	ENSG23388374865	type_2_diabetes	0.5	116
ABCG8	ENSG23388374865	nafld	0.78	34
ABHD5	ENSG28681551553	type_2_diabetes	0.45	122
ABHD5	ENSG28681551553	nafld	0.81	94
ABHD5	ENSG28681551553	mash	0.72	85
ACAA1	ENSG42877424390	obesity	0.78	115
ACAA1	ENSG42877424390	type_2_diabetes	0.39	194
ACAA2	ENSG32522761330	mash	0.32	110
ACAA2	ENSG32522761330	obesity	0.51	188
ACAD9	ENSG87988598071	mash	0.72	164
ACADL	ENSG53625593421	obesity	0.58	147
ACADM	ENSG39065971981	obesity	0.63	32
ACADM	ENSG39065971981	nafld	0.45	75
ACADS	ENSG05896740897	nafld	0.76	109
ACADVL	ENSG64370858249	nafld	0.46	137
ACADVL	ENSG64370858249	type_2_diabetes	0.6	33
ACLY	ENSG20746546201	obesity	0.35	178
ACOX1	ENSG76808950795	mash	0.77	92
ACOX1	ENSG76808950795	type_2_diabetes	0.64	93
ACOX1	ENSG76808950795	nafld	0.39	157
ACOX2	ENSG28212352379	obesity	0.56	108
ACOX2	ENSG28212352379	nafld	0.72	26
ACOX2	ENSG28212352379	type_2_diabetes	0.31	83
ACOX3	ENSG14231490624	obesity	0.42	27
ACOX3	ENSG14231490624	nafld	0.46	71
ACSL1	ENSG26514344703	nafld	0.4	129
ACSL1	ENSG26514344703	mash	0.35	93
ACSL1	ENSG26514344703	obesity	0.58	49
ACSL3	ENSG56512691834	mash	0.39	108
ACSL3	ENSG56512691834	obesity	0.59	61
ACSL3	ENSG56512691834	nafld	0.78	104
ACSL4	ENSG12762291598	obesity	0.32	51
ACSL4	ENSG12762291598	type_2_diabetes	0.47	158
ACSL5	ENSG59313267072	obesity	0.62	107
ACSL6	ENSG94654133156	mash	0.54	53
ACSL6	ENSG94654133156	type_2_diabetes	0.83	99
ACSM1	ENSG68176619812	nafld	0.75	167
ACSM1	ENSG68176619812	type_2_diabetes	0.73	194
ACSM1	ENSG68176619812	mash	0.61	24
ACSM2A	ENSG76931764299	type_2_diabetes	0.81	99
ACSM2A	ENSG76931764299	mash	0.7	42
ACSM2A	ENSG76931764299	nafld	0.69	93
ACSM2B	ENSG91717041361	nafld	0.8	45
ACSM3	ENSG94609405754	nafld	0.54	41
ACSM3	ENSG94609405754	mash	0.63	85
ACSM3	ENSG94609405754	obesity	0.55	183
ACSM4	ENSG01840186710	type_2_diabetes	0.76	93
ACSM5	ENSG60163533842	type_2_diabetes	0.44	49
ACSS2	ENSG98624647183	nafld	0.48	163
ACSS2	ENSG98624647183	mash	0.84	41
ACSS2	ENSG98624647183	obesity	0.84	44
ADAM17	ENSG11231535022	mash	0.5	192
ADH1A	ENSG52327495626	nafld	0.57	120
ADH1B	ENSG17913682676	nafld	0.57	126
ADH1B	ENSG17913682676	mash	0.48	29
ADH1C	ENSG03852233612	nafld	0.66	133
ADH1C	ENSG03852233612	type_2_diabetes	0.6	108
ADH4	ENSG52665374881	type_2_diabetes	0.75	96
ADH5	ENSG06514309497	obesity	0.55	119
ADH6	ENSG91226065797	nafld	0.45	162
ADH7	ENSG09872163011	obesity	0.33	38
ADH7	ENSG09872163011	mash	0.5	157
AGER	ENSG13228364781	obesity	0.45	153
AGER	ENSG13228364781	mash	0.53	174
AGER	ENSG13228364781	type_2_diabetes	0.5	75
AGPAT1	ENSG02061280317	obesity	0.56	48
AGPAT1	ENSG02061280317	mash	0.59	189
AGPAT1	ENSG02061280317	type_2_diabetes	0.31	53
AGPAT2	ENSG18867553960	mash	0.36	198
AGPAT2	ENSG18867553960	nafld	0.69	63
AGPAT3	ENSG05795616828	obesity	0.69	112
AGPAT3	ENSG05795616828	mash	0.6	52
AGPAT3	ENSG05795616828	type_2_diabetes	0.39	112
AGPAT4	ENSG49579640872	mash	0.52	53
AGPAT4	ENSG49579640872	nafld	0.64	194
AGPAT4	ENSG49579640872	type_2_diabetes	0.41	195
AGPAT5	ENSG07697339847	nafld	0.64	73
AGPAT5	ENSG07697339847	obesity	0.49	50
AIM2	ENSG45614818704	type_2_diabetes	0.7	60
AIM2	ENSG45614818704	obesity	0.73	185
ALDH1A1	ENSG77111298060	type_2_diabetes	0.39	143
ALDH1A1	ENSG77111298060	mash	0.58	80
ALDH1A2	ENSG37856577927	nafld	0.83	140
ALDH1A2	ENSG37856577927	obesity	0.62	109
ALDH1A2	ENSG37856577927	mash	0.81	76
ALDH1A3	ENSG50272788876	mash	0.52	46
ALDH1A3	ENSG50272788876	type_2_diabetes	0.72	136
ALDH1A3	ENSG50272788876	obesity	0.49	60
ALDH2	ENSG95234266708	mash	0.69	138
ALDH3A1	ENSG61420885355	mash	0.36	48
ALDH3A1	ENSG61420885355	type_2_diabetes	0.61	22
ALDH3A1	ENSG61420885355	nafld	0.73	55
ALDH3A2	ENSG10688076322	mash	0.38	67
ALDH5A1	ENSG22117054564	nafld	0.49	187
ALDH6A1	ENSG56071577821	mash	0.38	187
ALDH6A1	ENSG56071577821	type_2_diabetes	0.57	151
ALDOA	ENSG91256942993	nafld	0.54	51
ALDOA	ENSG91256942993	type_2_diabetes	0.65	186
ALDOA	ENSG91256942993	mash	0.38	137
ALDOB	ENSG99844518552	nafld	0.74	62
ALDOC	ENSG15534301755	nafld	0.6	84
AOX1	ENSG88170112355	obesity	0.5	56
AOX1	ENSG88170112355	mash	0.85	32
AOX2	ENSG31757047300	mash	0.7	163
AOX3	ENSG61581432653	nafld	0.46	76
AOX3	ENSG61581432653	obesity	0.77	153
AOX3	ENSG61581432653	type_2_diabetes	0.53	59
APOA1	ENSG62797023548	mash	0.43	86
APOA1	ENSG62797023548	nafld	0.67	102
APOA2	ENSG93001559680	type_2_diabetes	0.44	169
APOA2	ENSG93001559680	obesity	0.71	102
APOA2	ENSG93001559680	nafld	0.34	160
APOA4	ENSG90791752939	type_2_diabetes	0.79	70
APOA4	ENSG90791752939	obesity	0.54	129
APOA4	ENSG90791752939	mash	0.8	141
APOA5	ENSG05259416976	mash	0.31	37
APOC1	ENSG64473501916	obesity	0.72	120
APOC2	ENSG74309739127	type_2_diabetes	0.32	147
APOC2	ENSG74309739127	obesity	0.64	200
APOC4	ENSG10608899877	type_2_diabetes	0.3	160
APOC4	ENSG10608899877	obesity	0.78	36
APOL1	ENSG78919181416	mash	0.79	35
APOL1	ENSG78919181416	type_2_diabetes	0.59	48
APOL1	ENSG78919181416	nafld	0.79	127
APOM	ENSG31158218661	mash	0.57	183
APOM	ENSG31158218661	obesity	0.59	196
AR	ENSG78445168374	mash	0.65	23
ATF4	ENSG40873182365	nafld	0.5	193
ATF6	ENSG84081718811	mash	0.35	151
ATF6	ENSG84081718811	type_2_diabetes	0.65	200
ATGL	ENSG71347089628	nafld	0.79	100
ATGL	ENSG71347089628	type_2_diabetes	0.44	50
ATP1A1	ENSG40052831790	nafld	0.52	158
ATP1A1	ENSG40052831790	obesity	0.78	135
ATP1A2	ENSG37541016559	nafld	0.53	58
ATP1A2	ENSG37541016559	obesity	0.67	121
ATP1A2	ENSG37541016559	mash	0.37	154
ATP1B1	ENSG12347907765	obesity	0.71	46
ATP5A1	ENSG37875536223	obesity	0.85	82
ATP5B	ENSG36085879084	mash	0.51	37
ATP5B	ENSG36085879084	type_2_diabetes	0.36	180
ATP5C1	ENSG40871368883	mash	0.43	186
ATP5C1	ENSG40871368883	type_2_diabetes	0.49	25
ATP6V0A1	ENSG48473663301	obesity	0.32	145
ATP6V0A1	ENSG48473663301	nafld	0.78	189
ATP6V0A1	ENSG48473663301	type_2_diabetes	0.61	186
ATP6V1A	ENSG23261599707	nafld	0.58	66
ATP6V1A	ENSG23261599707	mash	0.71	71
BAAT	ENSG12700714127	nafld	0.58	137
BAAT	ENSG12700714127	type_2_diabetes	0.79	184
BACS	ENSG47007562580	type_2_diabetes	0.31	100
BACS	ENSG47007562580	nafld	0.36	110
BIP	ENSG06486847072	mash	0.53	115
BIP	ENSG06486847072	type_2_diabetes	0.85	148
BIP	ENSG06486847072	obesity	0.59	83
CACNA1C	ENSG05053976611	type_2_diabetes	0.5	191
CACNA1D	ENSG73091804600	mash	0.8	191
CACNB1	ENSG83545288350	nafld	0.37	114
CACNB1	ENSG83545288350	obesity	0.45	38
CACNB1	ENSG83545288350	mash	0.8	97
CACNB2	ENSG48666900246	obesity	0.61	91
CACNB2	ENSG48666900246	mash	0.77	40
CACNG1	ENSG99769233192	type_2_diabetes	0.56	43
CACT	ENSG76738739933	mash	0.33	113
CARMER	ENSG20779386903	type_2_diabetes	0.68	124
CASP1	ENSG41403516898	nafld	0.81	20
CAT	ENSG66664338116	type_2_diabetes	0.81	136
CAT	ENSG66664338116	mash	0.37	58
CAT	ENSG66664338116	nafld	0.78	81
CBG	ENSG46373109315	type_2_diabetes	0.54	26
CBG	ENSG46373109315	nafld	0.74	199
CCL2	ENSG29610366667	nafld	0.38	100
CCL2	ENSG29610366667	type_2_diabetes	0.67	188
CCL2	ENSG29610366667	obesity	0.32	110
CCL5	ENSG61470480071	obesity	0.58	185
CCL5	ENSG61470480071	type_2_diabetes	0.41	46
CCR2	ENSG39984852451	nafld	0.38	190
CCR2	ENSG39984852451	type_2_diabetes	0.31	22
CCR2	ENSG39984852451	obesity	0.72	122
CCR5	ENSG14396962030	type_2_diabetes	0.61	122
CETP	ENSG60012654588	type_2_diabetes	0.47	32
CETP	ENSG60012654588	obesity	0.35	183
CETP	ENSG60012654588	nafld	0.84	177
CHOP	ENSG10802808017	obesity	0.76	168
CIDEC	ENSG14864370135	nafld	0.42	37
CILP2	ENSG98737151511	obesity	0.77	138
CILP2	ENSG98737151511	mash	0.55	161
CLCN1	ENSG96383033148	obesity	0.33	171
CLCN3	ENSG01370734698	mash	0.35	54
CLCN5	ENSG71543593585	nafld	0.42	86
COX4I1	ENSG85784351135	nafld	0.56	123
COX4I1	ENSG85784351135	obesity	0.76	47
COX4I1	ENSG85784351135	type_2_diabetes	0.67	21
COX6A1	ENSG56421622206	type_2_diabetes	0.5	21
COX6A1	ENSG56421622206	nafld	0.72	200
COX6A1	ENSG56421622206	mash	0.78	84
COX8A	ENSG23367693094	nafld	0.78	134
COX8A	ENSG23367693094	obesity	0.76	149
CPT1A	ENSG85910264183	nafld	0.7	193
CPT1A	ENSG85910264183	type_2_diabetes	0.44	35
CPT1B	ENSG44441440178	nafld	0.71	71
CPT1B	ENSG44441440178	mash	0.42	91
CPT2	ENSG72632744998	obesity	0.39	80
CPT2	ENSG72632744998	type_2_diabetes	0.48	35
CPT2	ENSG72632744998	mash	0.84	42
CREBBP	ENSG10460662815	type_2_diabetes	0.61	154
CXCL10	ENSG06030790208	obesity	0.78	200
CXCL10	ENSG06030790208	mash	0.8	105
CXCL12	ENSG87719378725	mash	0.45	44
CXCR2	ENSG85768936753	mash	0.74	74
CXCR2	ENSG85768936753	obesity	0.76	175
CXCR4	ENSG46136054737	nafld	0.53	85
CXCR4	ENSG46136054737	type_2_diabetes	0.71	180
CYP27A1	ENSG02633240600	nafld	0.77	108
CYP27A1	ENSG02633240600	mash	0.49	34
CYP27A1	ENSG02633240600	type_2_diabetes	0.32	172
CYP2E1	ENSG79969619231	nafld	0.81	161
CYP2E1	ENSG79969619231	obesity	0.55	98
CYP39A1	ENSG07724776694	mash	0.46	185
CYP39A1	ENSG07724776694	type_2_diabetes	0.79	136
CYP39A1	ENSG07724776694	obesity	0.72	137
CYP3A4	ENSG29023397914	obesity	0.56	192
CYP46A1	ENSG58978653655	type_2_diabetes	0.61	61
CYP51A1	ENSG22331904905	obesity	0.43	102
CYP7A1	ENSG24801910852	mash	0.42	53
CYP7A1	ENSG24801910852	type_2_diabetes	0.8	170
CYP7A1	ENSG24801910852	nafld	0.46	199
CYP7B1	ENSG08690556640	obesity	0.76	186
CYP7B1	ENSG08690556640	nafld	0.61	181
CYP8B1	ENSG97383822421	mash	0.56	162
ChREBP	ENSG26928987236	type_2_diabetes	0.83	151
ChREBP	ENSG26928987236	nafld	0.35	166
ChREBP	ENSG26928987236	mash	0.36	184
DBC1	ENSG67731400849	obesity	0.81	178
DBC1	ENSG67731400849	type_2_diabetes	0.68	66
DBC1	ENSG67731400849	mash	0.42	194
DDIT3	ENSG43763881171	obesity	0.53	44
DDIT3	ENSG43763881171	mash	0.82	120
DGAT1	ENSG15221012164	mash	0.42	99
DGAT2	ENSG19275545209	obesity	0.57	47
DGAT2	ENSG19275545209	mash	0.51	148
DGAT2	ENSG19275545209	nafld	0.85	91
DHCR24	ENSG05351593485	type_2_diabetes	0.75	177
DHCR7	ENSG62103170815	type_2_diabetes	0.43	84
DHCR7	ENSG62103170815	nafld	0.36	120
DHCR7	ENSG62103170815	obesity	0.65	121
DLAT	ENSG50284864110	nafld	0.83	96
DLAT	ENSG50284864110	type_2_diabetes	0.54	51
DLAT	ENSG50284864110	obesity	0.68	95
DLD	ENSG63030296956	type_2_diabetes	0.69	74
DLD	ENSG63030296956	obesity	0.46	85
DRP1	ENSG06736503235	obesity	0.81	70
DRP1	ENSG06736503235	type_2_diabetes	0.56	33
EBP	ENSG09996245066	obesity	0.68	45
ECHS1	ENSG42113879777	obesity	0.57	179
ECHS1	ENSG42113879777	mash	0.38	89
EIF2AK1	ENSG65065107342	nafld	0.7	186
EIF2AK2	ENSG04059140998	mash	0.61	59
EIF2AK3	ENSG97073330352	mash	0.63	182
EIF2AK4	ENSG96037390435	mash	0.34	48
ENO1	ENSG27651116062	obesity	0.61	182
ENO1	ENSG27651116062	nafld	0.49	175
ENO2	ENSG55338043172	nafld	0.52	128
ENO3	ENSG74467773494	type_2_diabetes	0.55	133
ENO3	ENSG74467773494	mash	0.42	91
EP300	ENSG63121103803	obesity	0.45	174
ERK1	ENSG21809563522	obesity	0.56	102
ERK2	ENSG57831756493	mash	0.59	93
ERN1	ENSG34954747440	mash	0.36	82
ERN1	ENSG34954747440	obesity	0.44	185
ERN1	ENSG34954747440	type_2_diabetes	0.7	108
ERN2	ENSG68766693270	mash	0.53	24
ERN2	ENSG68766693270	nafld	0.56	23
ESR1	ENSG10786760020	obesity	0.65	50
ESR2	ENSG39713714392	obesity	0.55	40
ESR2	ENSG39713714392	type_2_diabetes	0.75	91
FASN	ENSG21801148614	type_2_diabetes	0.59	52
FASN	ENSG21801148614	obesity	0.48	31
FASN	ENSG21801148614	mash	0.77	103
FDPS	ENSG10937441255	mash	0.38	55
FDPS	ENSG10937441255	type_2_diabetes	0.52	100
FIS1	ENSG96910880064	obesity	0.63	67
FIS1	ENSG96910880064	mash	0.79	46
FIS1	ENSG96910880064	nafld	0.35	40
FOXO1	ENSG48623821642	obesity	0.75	157
FOXO3	ENSG87009703924	mash	0.44	41
FOXO3	ENSG87009703924	obesity	0.82	52
FOXO4	ENSG73498697656	type_2_diabetes	0.35	177
FOXO4	ENSG73498697656	obesity	0.49	165
FOXO4	ENSG73498697656	mash	0.68	52
FSP27	ENSG64006458527	type_2_diabetes	0.55	160
G6PC1	ENSG82093145810	nafld	0.79	51
G6PC2	ENSG33800127226	type_2_diabetes	0.77	46
G6PC2	ENSG33800127226	mash	0.39	132
G6PC3	ENSG40837356686	nafld	0.51	49
G6PC3	ENSG40837356686	obesity	0.38	22
G6PC3	ENSG40837356686	type_2_diabetes	0.52	113
G6PD	ENSG60468428167	nafld	0.84	73
G6PD	ENSG60468428167	obesity	0.61	188
G6PD	ENSG60468428167	type_2_diabetes	0.7	54
GADD34	ENSG35913596985	mash	0.76	21
GADD34	ENSG35913596985	nafld	0.84	124
GADD34	ENSG35913596985	type_2_diabetes	0.49	181
GAPDH	ENSG38052270359	mash	0.45	197
GAPDH	ENSG38052270359	obesity	0.63	128
GAPDH	ENSG38052270359	type_2_diabetes	0.54	88
GBE	ENSG85631923194	nafld	0.79	84
GBE	ENSG85631923194	type_2_diabetes	0.65	65
GBE1	ENSG56566644530	obesity	0.36	81
GBE1	ENSG56566644530	type_2_diabetes	0.71	62
GBE1	ENSG56566644530	nafld	0.71	60
GCLC	ENSG70143663621	type_2_diabetes	0.71	54
GCLC	ENSG70143663621	nafld	0.4	122
GCLC	ENSG70143663621	mash	0.54	37
GCLM	ENSG73598933639	obesity	0.84	114
GGPS1	ENSG31773979542	mash	0.53	79
GGPS1	ENSG31773979542	nafld	0.5	105
GGPS1	ENSG31773979542	type_2_diabetes	0.41	141
GH1	ENSG29763247565	type_2_diabetes	0.36	33
GH1	ENSG29763247565	mash	0.39	165
GHR	ENSG35406026120	nafld	0.5	94
GHR	ENSG35406026120	mash	0.57	93
GHR	ENSG35406026120	obesity	0.8	110
GHRH	ENSG21772179645	mash	0.73	28
GLUT2	ENSG91161381026	type_2_diabetes	0.48	176
GLUT2	ENSG91161381026	nafld	0.41	100
GLUT4	ENSG22374992976	obesity	0.65	198
GLUT4	ENSG22374992976	nafld	0.77	98
GPAM	ENSG34803036944	mash	0.78	193
GPI	ENSG94746006970	type_2_diabetes	0.37	74
GPI	ENSG94746006970	nafld	0.32	141
GPX1	ENSG74075470258	mash	0.66	158
GPX1	ENSG74075470258	obesity	0.46	192
GPX4	ENSG53880932961	obesity	0.34	175
GPX4	ENSG53880932961	nafld	0.73	101
GPX7	ENSG61998346323	mash	0.62	180
GPX7	ENSG61998346323	nafld	0.74	151
GPX7	ENSG61998346323	obesity	0.55	86
GPX8	ENSG98028450785	obesity	0.75	195
GR	ENSG85391475465	obesity	0.59	173
GRP78	ENSG63539253226	nafld	0.33	103
GRP94	ENSG28754910754	mash	0.62	20
GSDMD	ENSG79460997537	mash	0.85	38
GSDMD	ENSG79460997537	nafld	0.54	155
GSDMD	ENSG79460997537	type_2_diabetes	0.43	73
GSR	ENSG40348992426	obesity	0.47	95
GSR	ENSG40348992426	type_2_diabetes	0.75	51
GSR	ENSG40348992426	mash	0.71	87
GSTA1	ENSG22757679130	obesity	0.64	88
GSTA1	ENSG22757679130	mash	0.6	97
GSTA2	ENSG93673121952	obesity	0.54	184
GSTA2	ENSG93673121952	nafld	0.65	85
GSTA2	ENSG93673121952	mash	0.46	162
GSTM1	ENSG45228259736	nafld	0.32	155
GYS1	ENSG15744253570	obesity	0.41	164
