ensembl_gene_id	score_D3_target_association_breadth	missingness_D3_target_association_breadth
ENSG00000178188	-2.073927	1
ENSG00000180616	0.113439	0
ENSG00000181092	0.854321	0
ENSG00000181856	0.677921	0
ENSG00000183914	0.113439	0
ENSG00000184304	-2.073927	1
ENSG00000185000	0.219279	0
ENSG00000185950	0.572080	0
ENSG00000186188	-2.073927	1
ENSG00000186951	0.713201	0
ENSG00000187094	0.430960	0
ENSG00000187486	-2.073927	1
ENSG00000187555	0.219279	0
ENSG00000187871	0.783761	0
ENSG00000188778	0.536800	0
ENSG00000188822	0.113439	0
ENSG00000196689	0.007599	0
ENSG00000197635	0.924881	0
ENSG00000198793	0.430960	0
ENSG00000198911	0.536800	0
ENSG00000204133	-0.239362	0
ENSG00000204952	0.360400	0
ENSG00000213398	-2.073927	1
ENSG00000232810	0.536800	0
ENSG00000241335	1.030722	0
ENSG00000244405	-2.073927	1
ENSG00000248099	-0.027681	0
ENSG00000254647	1.207122	0
ENSG00000266265	-2.073927	1
ENSG00000275410	-2.073927	1
